Item Identifier,Item Weight,Item Fat Content,Item Visibility,Item Type,Outlet Identifier,Outlet Establishment Year,Outlet Size,Outlet Location Type,Outlet Type,Sales,Rating,Order Date
NCD37,14.013,Low Fat ,0.061868,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,1414.4623,4.297,2022-08-22
FDQ37,,Regular,0.134567,Snack Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,9765.2214,4.6,2022-10-09
FDU44,8.169,low fat,0.054676,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,1201.305,4.2,2022-12-21
NCQ19,19.026,low fat,0.029523,Health and Hygiene,OUT049,1999,Medium,Tier 1,Supermarket Type1,1791.5149,4.0,2022-05-19
DRR46,21.165,Regular,0.077661,Hard Drinks,OUT013,1987,High,Tier 3,Supermarket Type1,2589.741,3.4,2023-01-05
DRP23,8.296,reg,0.020688,Soft Drinks,OUT049,1999,Medium,Tier 1,Supermarket Type1,1596.1195,4.0,2023-05-04
FDV26,5.546,reg,0.09308,Breakfast,OUT027,1985,Medium,Tier 3,Supermarket Type3,2652.8987,3.1,2022-01-19
NCV29,7.742,Low Fat ,0.132613,Household,OUT045,2002,,Tier 2,Supermarket Type1,3147.4254,4.02,2023-12-13
NCV55,15.451,Low Fat,0.107065,Household,OUT018,2009,Medium,Tier 3,Supermarket Type2,857.3014,3.984,2023-09-20
NCX23,5.977,low fat,0.093828,Household,OUT013,1987,High,Tier 3,Supermarket Type1,1573.0376,3.7,2023-02-03
FDV31,7.243, Regular,0.0,Breakfast,OUT046,1997,Small,Tier 1,Supermarket Type1,1538.9065,3.608,2022-12-23
FDY37,11.028,LF,0.037655,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,2772.7795,4.2,2023-01-27
FDE24,12.488,LF,0.048444,Snack Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,9347.4765,4.0,2023-03-19
FDX46,17.295,reg,0.049084,Fruits and Vegetables,OUT046,1997,Small,Tier 1,Supermarket Type1,5888.3833,4.033,2022-12-11
DRA31,14.547,reg,0.083444,Hard Drinks,OUT027,1985,Medium,Tier 3,Supermarket Type3,4895.8231,4.1,2023-08-09
FDG22,10.716,Low Fat,0.031053,Canned,OUT017,2007,,Tier 2,Supermarket Type1,1533.1658,3.726,2023-02-17
NCK13,20.327,Low Fat ,0.023064,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,900.7015,3.7,2023-02-15
FDX58,,Regular,0.042954,Starchy Foods,OUT017,2007,,Tier 2,Supermarket Type1,4977.5819,3.8,2023-04-17
FDS39,17.591,Low Fat,0.048017,Fruits and Vegetables,OUT046,1997,Small,Tier 1,Supermarket Type1,1911.1386,3.8,2022-01-12
FDG28,19.838,low fat,0.172102,Meat,OUT010,1998,,Tier 3,Grocery Store,1015.881,4.0,2023-01-10
FDM34,8.621,Low Fat ,0.0,Breads,OUT049,1999,Medium,Tier 1,Supermarket Type1,1505.1618,3.5,2022-05-04
FDM33,19.048,LF,0.047836,Baking Goods,OUT017,2007,,Tier 2,Supermarket Type1,2489.9704,3.8,2023-06-06
FDQ47,19.566,reg,0.024945,Meat,OUT035,2004,Small,Tier 2,Supermarket Type1,405.9503,4.0,2022-04-15
FDQ35,5.542, Regular,0.034198,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,2757.2789,3.9,2023-07-18
FDW59,8.288,Low Fat,0.041086,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,1188.471,4.4,2023-06-21
FDG46,11.108,Low Fat ,0.02909,Snack Foods,OUT046,1997,Small,Tier 1,Supermarket Type1,6230.4387,4.1,2023-03-01
FDF10,10.456,Low Fat,0.045149,Breakfast,OUT013,1987,High,Tier 3,Supermarket Type1,2881.032,4.0,2023-05-28
NCV32,,low fat,0.032512,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,2059.1489,3.3,2022-12-28
FDK48,17.501, Regular,0.07151,Baking Goods,OUT018,2009,Medium,Tier 3,Supermarket Type2,4230.7619,3.6,2022-08-06
FDR47,15.72,Regular,0.024237,Dairy,OUT019,1985,Small,Tier 1,Grocery Store,251.7557,4.0,2022-08-07
NCG52,17.459,low fat,0.101328,Household,OUT046,1997,Small,Tier 1,Supermarket Type1,2728.6292,3.885,2023-02-06
FDY27,12.851,Low Fat,0.029865,Fruits and Vegetables,OUT027,1985,Medium,Tier 3,Supermarket Type3,6133.4614,4.0,2022-06-05
FDU24,17.902,reg,0.031847,Snack Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,772.405,3.995,2022-07-15
FDA13,5.359,Low Fat ,0.051114,Dairy,OUT046,1997,Small,Tier 1,Supermarket Type1,1802.3294,4.7,2022-04-17
FDM44,16.472,Low Fat ,0.0,Baking Goods,OUT046,1997,Small,Tier 1,Supermarket Type1,5887.2045,4.1,2022-08-27
NCW31,8.359,LF,0.021127,Health and Hygiene,OUT027,1985,Medium,Tier 3,Supermarket Type3,2841.0632,4.2,2022-08-07
NCD27,,Low Fat,0.011366,Health and Hygiene,OUT017,2007,,Tier 2,Supermarket Type1,5177.6104,4.6,2023-05-19
DRC25,21.121,LF,0.061321,Soft Drinks,OUT049,1999,Medium,Tier 1,Supermarket Type1,5841.855,4.5,2022-01-19
FDW15,5.699,low fat,0.0,Snack Foods,OUT017,2007,,Tier 2,Supermarket Type1,1910.7337,4.3,2022-04-30
NCQ26,6.334,LF,0.077125,Household,OUT017,2007,,Tier 2,Supermarket Type1,1642.4052,4.5,2023-08-12
DRE13,20.335,Low Fat,0.043289,Soft Drinks,OUT035,2004,Small,Tier 2,Supermarket Type1,2178.8042,3.7,2022-04-07
FDS50,12.73,low fat,0.031788,Baking Goods,OUT045,2002,,Tier 2,Supermarket Type1,2689.2123,4.2,2022-12-12
FDD57,12.668,LF,0.06558,Starchy Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,4581.2551,4.6,2022-02-02
FDE52,,Low Fat,0.028655,Canned,OUT018,2009,Medium,Tier 3,Supermarket Type2,5514.8951,3.881,2023-06-23
FDS20,,Low Fat,0.020169,Frozen Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,1786.2689,3.6,2022-10-16
FDG52,20.43,Low Fat ,0.094982,Fruits and Vegetables,OUT049,1999,Medium,Tier 1,Supermarket Type1,3278.3587,4.5,2022-12-18
NCW18,13.063,Low Fat ,0.028739,Household,OUT049,1999,Medium,Tier 1,Supermarket Type1,1640.3205,3.6,2023-02-27
FDU36,20.347,low fat,0.191881,Canned,OUT027,1985,Medium,Tier 3,Supermarket Type3,5881.2206,3.526,2023-10-28
FDR32,7.453,low fat,0.043353,Baking Goods,OUT035,2004,Small,Tier 2,Supermarket Type1,1423.4316,3.83,2022-04-20
NCY31,,Low Fat,0.115528,Health and Hygiene,OUT049,1999,Medium,Tier 1,Supermarket Type1,1529.6847,4.4,2023-07-18
FDJ46,14.386,Low Fat ,0.113886,Dairy,OUT017,2007,,Tier 2,Supermarket Type1,3908.7926,4.0,2022-12-21
FDY30,13.822, Regular,0.021664,Canned,OUT049,1999,Medium,Tier 1,Supermarket Type1,2442.9849,3.3,2023-08-25
DRJ59,16.267,reg,0.061462,Soft Drinks,OUT045,2002,,Tier 2,Supermarket Type1,1823.6723,3.464,2023-04-09
FDF47,,low fat,0.033328,Fruits and Vegetables,OUT045,2002,,Tier 2,Supermarket Type1,1530.8994,4.3,2023-01-10
NCV30,6.545,Low Fat ,0.091696,Household,OUT045,2002,,Tier 2,Supermarket Type1,3194.187,4.2,2023-09-02
FDS17,16.139,Regular,0.071382,Starchy Foods,OUT027,1985,Medium,Tier 3,Supermarket Type3,11463.4308,3.7,2022-11-16
FDS20,12.963,Low Fat ,0.0,Frozen Foods,OUT035,2004,Small,Tier 2,Supermarket Type1,4084.583,3.9,2023-04-23
DRF20,20.865,Low Fat,0.032021,Soft Drinks,OUT045,2002,,Tier 2,Supermarket Type1,2459.9015,3.6,2023-06-12
FDP36,4.852,low fat,0.055833,Canned,OUT017,2007,,Tier 2,Supermarket Type1,7704.1744,3.9,2023-02-05
FDC39,5.657,low fat,0.084502,Snack Foods,OUT018,2009,Medium,Tier 3,Supermarket Type2,1779.6785,4.4,2023-08-12
FDM45,10.745,low fat,0.026681,Breads,OUT027,1985,Medium,Tier 3,Supermarket Type3,13086.9648,3.8,2022-06-03
FDF44,14.414,LF,0.12157,Starchy Foods,OUT049,1999,Medium,Tier 1,Supermarket Type1,2559.6829,4.2,2022-01-01
NCV32,9.714,low fat,0.034548,Household,OUT017,2007,,Tier 2,Supermarket Type1,2128.5685,3.6,2023-09-03
FDA46,11.742,reg,0.025207,Dairy,OUT017,2007,,Tier 2,Supermarket Type1,5834.6866,3.8,2023-10-16
NCE59,16.639,Low Fat ,0.013744,Household,OUT035,2004,Small,Tier 2,Supermarket Type1,4586.5265,4.0,2022-05-10
NCK26,14.313,Low Fat ,0.074613,Others,OUT019,1985,Small,Tier 1,Grocery Store,925.5115,4.1,2022-06-17
NCB17,17.144,low fat,0.036996,Health and Hygiene,OUT018,2009,Medium,Tier 3,Supermarket Type2,2458.6088,4.082,2022-08-12
